Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jane,tvui,profilesGate,,,2022-01-25 18:15:03
Jane,tvui,profilesGate,,,2022-01-25 18:14:51
Jane,iOS,search,,,2022-01-25 06:55:43
Jane,iOS,movieDetails,,,2022-01-25 06:55:43
Jane,iOS,browseTitles,,,2022-01-25 06:55:38
Jane,iOS,search,,,2022-01-25 06:55:38
Jane,iOS,profilesGate,,,2022-01-25 06:55:36
Jane,iOS,profilesGate,,,2022-01-25 06:55:36
Jane,iOS,browseTitles,,,2022-01-25 06:55:36
Jane,iOS,movieDetails,,,2022-01-21 20:03:15
Jane,iOS,search,,,2022-01-21 20:03:14
Jane,iOS,movieDetails,,,2022-01-21 20:03:05
Jane,iOS,search,,,2022-01-21 20:03:05
Jane,iOS,movieDetails,,,2022-01-21 20:03:00
Jane,iOS,search,,,2022-01-21 20:02:59
Jane,iOS,browseTitles,,,2022-01-21 20:02:51
Jane,iOS,search,,,2022-01-21 20:02:51
Jane,iOS,profilesGate,,,2022-01-21 20:02:48
Jane,iOS,profilesGate,,,2022-01-21 20:02:48
Jane,iOS,browseTitles,,,2022-01-21 20:02:48
Jane,tvui,search,,,2022-01-19 19:28:12
Jane,tvui,profilesGate,,,2022-01-19 19:28:12
Jane,tvui,search,,,2022-01-19 18:57:59
Jane,tvui,browseTitles,,,2022-01-19 18:57:59
Jane,tvui,profilesGate,,,2022-01-19 18:57:55
Jane,tvui,browseTitles,,,2022-01-19 18:57:55
Jane,tvui,profilesGate,,,2022-01-19 18:57:53
Jane,tvui,profilesGate,,,2022-01-18 14:36:18
Jane,tvui,profilesGate,,,2022-01-18 14:36:18
Jane,tvui,movieDetails,,,2022-01-16 20:55:34
Jane,tvui,profilesGate,,,2022-01-16 20:55:34
Jane,tvui,movieDetails,,,2022-01-16 20:55:30
Jane,tvui,screenSaver,,,2022-01-16 20:55:30
Jane,tvui,postPlay,,,2022-01-16 20:53:16
Jane,tvui,screenSaver,,,2022-01-16 20:53:16
Jane,tvui,postPlay,,,2022-01-16 20:42:02
Jane,tvui,playback,,,2022-01-16 20:42:02
Jane,tvui,movieDetails,,,2022-01-16 19:10:30
Jane,tvui,playback,,,2022-01-16 19:10:30
Jane,tvui,browseTitles,,,2022-01-16 19:10:28
Jane,tvui,movieDetails,,,2022-01-16 19:10:28
Jane,tvui,movieDetails,,,2022-01-16 19:10:11
Jane,tvui,browseTitles,,,2022-01-16 19:10:11
Jane,tvui,browseTitles,,,2022-01-16 19:10:06
Jane,tvui,movieDetails,,,2022-01-16 19:10:06
Jane,tvui,browseTitles,,,2022-01-16 19:09:52
Jane,tvui,movieDetails,,,2022-01-16 19:09:52
Jane,tvui,browseTitles,,,2022-01-16 19:09:43
Jane,tvui,movieDetails,,,2022-01-16 19:09:43
Jane,tvui,profilesGate,,,2022-01-16 19:09:18
Jane,tvui,browseTitles,,,2022-01-16 19:09:18
Jane,tvui,profilesGate,,,2022-01-16 19:09:16
Jane,tvui,postPlay,,,2022-01-14 22:20:07
Jane,tvui,movieDetails,,,2022-01-14 22:20:07
Jane,tvui,playback,,,2022-01-14 22:16:18
Jane,tvui,postPlay,,,2022-01-14 22:16:18
Jane,iOS,movieDetails,,,2022-01-14 20:37:43
Jane,tvui,movieDetails,,,2022-01-14 19:53:38
Jane,tvui,playback,,,2022-01-14 19:53:38
Jane,tvui,movieDetails,,,2022-01-14 19:53:36
Jane,tvui,browseTitles,,,2022-01-14 19:53:36
Jane,tvui,movieDetails,,,2022-01-14 19:53:28
Jane,tvui,browseTitles,,,2022-01-14 19:53:28
Jane,tvui,playback,,,2022-01-14 19:53:26
Jane,tvui,movieDetails,,,2022-01-14 19:53:26
Jane,tvui,playback,,,2022-01-14 19:53:03
Jane,tvui,movieDetails,,,2022-01-14 19:53:03
Jane,tvui,movieDetails,,,2022-01-14 19:53:00
Jane,tvui,browseTitles,,,2022-01-14 19:53:00
Jane,tvui,movieDetails,,,2022-01-14 19:52:31
Jane,tvui,browseTitles,,,2022-01-14 19:52:31
Jane,tvui,movieDetails,,,2022-01-14 19:52:24
Jane,tvui,browseTitles,,,2022-01-14 19:52:24
Jane,tvui,profilesGate,,,2022-01-14 19:52:04
Jane,tvui,browseTitles,,,2022-01-14 19:52:04
Jane,tvui,profilesGate,,,2022-01-14 19:52:04
Jane,tvui,profilesGate,,,2022-01-14 19:51:48
Jane,tvui,profilesGate,,,2022-01-10 09:10:11
Jane,tvui,browseTitles,,,2022-01-10 09:03:46
Jane,tvui,profilesGate,,,2022-01-10 09:03:46
Jane,tvui,browseTitles,,,2022-01-10 08:33:39
Jane,tvui,movieDetails,,,2022-01-10 08:33:39
Jane,tvui,postPlay,,,2022-01-10 08:32:54
Jane,tvui,movieDetails,,,2022-01-10 08:32:54
Jane,tvui,playback,,,2022-01-10 08:31:32
Jane,tvui,postPlay,,,2022-01-10 08:31:32
Jane,tvui,movieDetails,,,2022-01-10 08:07:02
Jane,tvui,playback,,,2022-01-10 08:07:02
Jane,tvui,browseTitles,,,2022-01-10 08:07:00
Jane,tvui,movieDetails,,,2022-01-10 08:07:00
Jane,tvui,profilesGate,,,2022-01-10 08:06:58
Jane,tvui,movieDetails,,,2022-01-10 08:06:58
Jane,tvui,movieDetails,,,2022-01-10 08:06:58
Jane,tvui,browseTitles,,,2022-01-10 08:06:58
Jane,tvui,profilesGate,,,2022-01-10 08:06:57
Jane,tvui,movieDetails,,,2022-01-09 20:20:00
Jane,tvui,profilesGate,,,2022-01-09 20:20:00
Jane,tvui,playback,,,2022-01-09 19:50:00
Jane,tvui,movieDetails,,,2022-01-09 19:50:00
Jane,tvui,playback,,,2022-01-09 18:43:01
Jane,tvui,movieDetails,,,2022-01-09 18:43:01
Jane,tvui,profilesGate,,,2022-01-09 18:42:57
Jane,tvui,movieDetails,,,2022-01-09 18:42:57
Jane,tvui,profilesGate,,,2022-01-09 18:42:57
Jane,tvui,profilesGate,,,2022-01-08 20:24:54
Jane,tvui,movieDetails,,,2022-01-08 20:24:54
Jane,tvui,movieDetails,,,2022-01-08 19:54:54
Jane,tvui,playback,,,2022-01-08 19:54:54
Jane,tvui,playback,,,2022-01-08 19:36:51
Jane,tvui,movieDetails,,,2022-01-08 19:36:51
Jane,tvui,browseTitles,,,2022-01-08 19:36:48
Jane,tvui,movieDetails,,,2022-01-08 19:36:48
Jane,tvui,profilesGate,,,2022-01-08 19:36:41
Jane,tvui,browseTitles,,,2022-01-08 19:36:41
Jane,tvui,movieDetails,,,2022-01-08 00:36:04
Jane,tvui,profilesGate,,,2022-01-08 00:36:04
Jane,iOS,movieDetails,,,2022-01-07 22:52:08
Jane,iOS,movieDetails,,,2022-01-07 22:52:08
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:04
Jane,iOS,playback,,,2022-01-07 22:52:04
Jane,iOS,playback,,,2022-01-07 22:51:32
Jane,iOS,postPlay,,,2022-01-07 22:51:32
Jane,iOS,postPlay,,,2022-01-07 22:51:28
Jane,iOS,playback,,,2022-01-07 22:51:28
Jane,iOS,movieDetails,,,2022-01-07 22:50:13
