Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Jane,Black Mirror: Bandersnatch,countdown_interrupted,KICK HIM IN THE BALLS,false,tvui,2019-01-20 19:50:28
Jane,Black Mirror: Bandersnatch,countdown_interrupted,FIGHT HER,false,tvui,2019-01-20 19:49:55
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:49:37
Jane,Black Mirror: Bandersnatch,countdown_interrupted,TELL HIM MORE,false,tvui,2019-01-20 19:47:14
Jane,Black Mirror: Bandersnatch,countdown_interrupted,TELL HIM MORE,false,tvui,2019-01-20 19:46:50
Jane,Black Mirror: Bandersnatch,countdown_interrupted,THE NETFLIX 'N' LOGO,false,tvui,2019-01-20 19:46:19
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:43:01
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:40:38
Jane,Black Mirror: Bandersnatch,countdown_interrupted,YES,false,tvui,2019-01-20 19:37:28
Jane,Black Mirror: Bandersnatch,countdown_interrupted,TOY,false,tvui,2019-01-20 19:35:34
Jane,Black Mirror: Bandersnatch,countdown_interrupted,GET RABBIT FROM DAD,true,tvui,2019-01-20 19:34:33
Jane,Black Mirror: Bandersnatch,countdown_interrupted,BACK OFF,true,tvui,2019-01-20 19:33:57
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,true,tvui,2019-01-20 19:33:11
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:29:15
Jane,Black Mirror: Bandersnatch,countdown_interrupted,GET RABBIT FROM DAD,false,tvui,2019-01-20 19:26:51
Jane,Black Mirror: Bandersnatch,countdown_interrupted,BACK OFF,false,tvui,2019-01-20 19:26:03
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:25:13
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:24:26
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:21:51
Jane,Black Mirror: Bandersnatch,countdown_interrupted,HIT DESK,false,tvui,2019-01-20 19:20:59
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 19:16:01
Jane,Black Mirror: Bandersnatch,countdown_interrupted,BITE NAILS,false,tvui,2019-01-20 19:14:32
Jane,Black Mirror: Bandersnatch,countdown_interrupted,COLIN,false,tvui,2019-01-20 19:12:13
Jane,Black Mirror: Bandersnatch,countdown_interrupted,GO BACK,false,tvui,2019-01-20 19:11:52
Jane,Black Mirror: Bandersnatch,countdown_interrupted,STEFAN,false,tvui,2019-01-20 19:10:15
Jane,Black Mirror: Bandersnatch,countdown_interrupted,YES,false,tvui,2019-01-20 19:02:50
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 18:59:27
Jane,Black Mirror: Bandersnatch,countdown_interrupted,SHOUT AT DAD,false,tvui,2019-01-20 18:57:56
Jane,Black Mirror: Bandersnatch,countdown_interrupted,THE BERMUDA TRIANGLE,false,tvui,2019-01-20 18:41:46
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 18:39:28
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 18:38:25
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 18:29:07
Jane,Black Mirror: Bandersnatch,countdown_interrupted,,false,tvui,2019-01-20 18:25:16
Jane,Black Mirror: Bandersnatch,countdown_interrupted,NOW 2,false,tvui,2019-01-20 18:20:42
Jane,Black Mirror: Bandersnatch,countdown_interrupted,FROSTIES,false,tvui,2019-01-20 18:19:48
Jane,Black Mirror: Bandersnatch - Game Controller Tutorial,countdown_interrupted,,false,tvui,2019-01-20 18:17:21
