Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Jane,2022-01-25 06:55:43,00:00:13,Autoplayed: user action: None; ,"Trailer: tick, tick...Boom!",TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:14,00:00:14,GB (United Kingdom)
Jane,2022-01-21 20:03:15,00:00:05,Autoplayed: user action: None; ,Zombieland_hook_primary_16x9,HOOK,iPhone 12 Mini,00:00:06,00:00:06,GB (United Kingdom)
Jane,2022-01-16 20:45:46,00:02:28,,Trailer: The Lost Daughter,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:02:28,00:02:28,GB (United Kingdom)
Jane,2022-01-16 20:44:12,00:01:31,,The Gentlemen_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:31,00:01:31,GB (United Kingdom)
Jane,2022-01-16 20:42:22,00:01:47,Autoplayed: user action: None; ,Season 1 Trailer: Stay Close,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:47,00:01:47,GB (United Kingdom)
Jane,2022-01-16 19:10:29,01:20:21,Autoplayed: user action: User_Interaction; ,The River Runner,,Samsung 2016 Jazz-L UHD TV Smart TV,01:25:46,01:25:46,GB (United Kingdom)
Jane,2022-01-16 19:09:59,00:00:13,Autoplayed: user action: None; ,The Gentlemen_hook_primary_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:13,Not latest view,GB (United Kingdom)
Jane,2022-01-16 19:09:41,00:00:10,Autoplayed: user action: None; ,Genre Specific Moment Clip: Stay Close: Season 1,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:10,00:00:10,GB (United Kingdom)
Jane,2022-01-14 22:18:30,00:01:33,,Season 2 Trailer: Cheer: Season 2,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:33,00:01:33,GB (United Kingdom)
Jane,2022-01-14 22:16:40,00:01:47,Autoplayed: user action: None; ,Season 1 Trailer: Stay Close,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:47,Not latest view,GB (United Kingdom)
Jane,2022-01-14 19:53:39,02:06:45,,The Power of the Dog,,Samsung 2016 Jazz-L UHD TV Smart TV,02:04:04,02:04:04,GB (United Kingdom)
Jane,2022-01-14 19:53:03,00:00:18,,The River Runner,,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:18,Not latest view,GB (United Kingdom)
Jane,2022-01-14 19:52:14,00:00:18,Autoplayed: user action: None; ,Season 2 Moment of High Emotion Clip: Cheer,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:18,00:00:18,GB (United Kingdom)
Jane,2022-01-14 19:51:57,00:00:07,Autoplayed: user action: None; ,Season 2 Moment of High Emotion Clip: Cheer,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:07,Not latest view,GB (United Kingdom)
Jane,2022-01-10 08:31:53,00:00:57,Autoplayed: user action: None; ,Season 1 Trailer: Stay Close,TRAILER,Samsung 2016 Jazz-L UHD TV Smart TV,00:00:57,Not latest view,GB (United Kingdom)
Jane,2022-01-10 08:07:01,00:24:41,Autoplayed: user action: User_Interaction; ,The Hobbit: The Battle of the Five Armies,,Samsung 2016 Jazz-L UHD TV Smart TV,02:12:01,02:12:01,GB (United Kingdom)
Jane,2022-01-09 18:43:00,00:42:39,Autoplayed: user action: User_Interaction; ,The Hobbit: The Battle of the Five Armies,,Samsung 2016 Jazz-L UHD TV Smart TV,01:47:22,Not latest view,GB (United Kingdom)
Jane,2022-01-08 19:36:50,00:04:22,Autoplayed: user action: User_Interaction; ,The Hobbit: The Battle of the Five Armies,,Samsung 2016 Jazz-L UHD TV Smart TV,01:04:40,Not latest view,GB (United Kingdom)
Jane,2022-01-07 22:51:41,00:00:22,Autoplayed: user action: None; ,Plot Clip: Don't Look Up,HOOK,iPhone 12 Mini,00:00:23,00:00:23,GB (United Kingdom)
Jane,2022-01-07 22:50:13,00:01:08,,Don't Look Up,,iPhone 12 Mini,02:18:13,02:18:13,GB (United Kingdom)
Jane,2022-01-07 22:22:56,00:12:58,Autoplayed: user action: User_Interaction; ,Don't Look Up,,Samsung 2016 Jazz-L UHD TV Smart TV,02:14:07,Not latest view,GB (United Kingdom)
Jane,2022-01-07 19:59:01,02:01:27,Autoplayed: user action: User_Interaction; ,Don't Look Up,,Samsung 2016 Jazz-L UHD TV Smart TV,02:01:37,Not latest view,GB (United Kingdom)
Jane,2022-01-07 19:07:43,00:45:01,Autoplayed: user action: User_Interaction; ,The Hobbit: The Battle of the Five Armies,,Samsung 2016 Jazz-L UHD TV Smart TV,01:00:18,Not latest view,GB (United Kingdom)
Jane,2022-01-07 19:02:10,00:01:20,Autoplayed: user action: None; ,The Hobbit: The Desolation of Smaug_hook_01_16x9,HOOK,Samsung 2016 Jazz-L UHD TV Smart TV,00:01:20,00:01:20,GB (United Kingdom)
