Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Jane,NFCDSF-PH-HZ3D5YGYYV73RXUM1PWGL8XDKHR42J,Netflix iPhone-Safari iPhone,,,,,,,,,
Jane,NFCDCH-PH-HZ3D1PK0V0TLA1P21474ALVEGXD0QT,Netflix iPhone-Chrome iPhone,,,,,,,,,
Sophie,SSTV-JZL1-0000000000000006626012,Samsung 2016 Jazz-L UHD TV Smart TV,2018-06-02T20:56:05.981Z,2022-01-25T18:15:44.309Z,2019-04-13T18:19:22.779Z,2022-01-25T18:15:44.309Z,2021-11-19T09:50:43.086Z,2022-01-25T18:15:44.309Z,2021-11-19T09:50:43.086Z,2022-01-25T18:15:44.309Z,
Jane,SSTV-JZL1-0000000000000006626012,Samsung 2016 Jazz-L UHD TV Smart TV,2018-06-02T20:56:05.981Z,2022-01-25T18:15:44.309Z,2019-04-13T18:19:22.779Z,2022-01-25T18:15:44.309Z,2018-06-02T20:56:05.981Z,2022-01-25T18:15:02.120Z,2019-04-13T18:19:22.779Z,2022-01-16T20:45:46.259Z,
Jane,NFAPPL-02-IPHONE12=8-9C6B7FDD77C2BB3CE9C238B0F1BCCB2268D86C67083F7DF346EF70D5CC62D030,Apple iPhone SE Gen 2 iPhone,2020-11-27T19:40:20.814Z,2022-01-25T06:55:43.945Z,2021-05-15T06:46:39.821Z,2021-05-15T06:46:39.821Z,2020-11-27T19:40:20.814Z,2022-01-25T06:55:43.945Z,2021-05-15T06:46:39.821Z,2021-05-15T06:46:39.821Z,
Jane,NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,iPhone 12 Mini,2020-12-18T16:56:39.563Z,2022-01-21T20:03:15.394Z,2021-01-09T14:07:04.585Z,2022-01-07T22:50:13.804Z,2020-12-18T16:56:39.563Z,2022-01-21T20:03:15.394Z,2021-01-09T14:07:04.585Z,2022-01-07T22:50:13.804Z,
Sophie,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-1366D9A884BDDFE84C20C626055A3524247A6B2FDEE6DE8A723975E5B07E380B,Google Sabrina ATV Set Top Box,2021-07-05T18:58:30.286Z,2022-01-08T09:14:28.255Z,2021-07-13T16:09:59.523Z,2022-01-08T09:03:10.049Z,2021-11-20T08:46:01.414Z,2022-01-08T09:14:28.255Z,2021-11-20T08:46:01.414Z,2022-01-08T09:03:10.049Z,
Jane,NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-1366D9A884BDDFE84C20C626055A3524247A6B2FDEE6DE8A723975E5B07E380B,Google Sabrina ATV Set Top Box,2021-07-05T18:58:30.286Z,2022-01-08T09:14:28.255Z,2021-07-13T16:09:59.523Z,2022-01-08T09:03:10.049Z,2021-07-05T18:58:30.286Z,2021-12-29T22:43:39.691Z,2021-07-13T16:09:59.523Z,2021-12-29T22:16:05.245Z,
Lucy&phil,YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,Youview British Telecom DTR-T2100 Set Top Box,,,,,,,,,
Jane,NFAPPL-01-IPAD11=1-9C6B7FDD77C2BB3CE9C238B0F1BCCB2268D86C67083F7DF346EF70D5CC62D030,Apple iPad Mini 5th Gen (Wi-Fi),2021-10-03T12:20:41.339Z,2021-10-03T13:47:56.175Z,2021-10-03T12:20:41.339Z,2021-10-03T13:47:56.175Z,2021-10-03T12:20:41.339Z,2021-10-03T13:47:56.175Z,2021-10-03T12:20:41.339Z,2021-10-03T13:47:56.175Z,
