Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,81.159.224.201,Hertfordshire,2022-01-25T18:15:02.120Z
NFAPPL-02-IPHONE12=8-9C6B7FDD77C2BB3CE9C238B0F1BCCB2268D86C67083F7DF346EF70D5CC62D030,GB,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,2a00:23c7:cb94:b601:f972:aa31:de75:5bb3,Hertfordshire,2022-01-25T06:55:43.945Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,2a00:23c5:4e98:5301:18ad:d2a1:6210:f795,Stockport,2022-01-21T20:03:00.429Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.146.59.240,Hertfordshire,2022-01-16T19:09:18.272Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.146.59.240,Hertfordshire,2022-01-14T19:51:57.210Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.185.101.203,Staffordshire,2022-01-10T08:07:01.605Z
NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-1366D9A884BDDFE84C20C626055A3524247A6B2FDEE6DE8A723975E5B07E380B,GB,Google Sabrina ATV Set Top Box,Google Sabrina ATV Set Top Box,86.185.101.203,Staffordshire,2022-01-08T09:02:40.768Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,2a00:23c7:cb94:b601:a10e:2017:6e7a:e22b,Hertfordshire,2022-01-07T22:50:13.804Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,2a00:23c7:cb94:b601:a838:91e2:396d:6a4c,Hertfordshire,2022-01-06T08:06:43.167Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,2a00:23c7:cb94:b601:a838:91e2:396d:6a4c,Hertfordshire,2022-01-06T08:06:32.801Z
NFAPPL-02-IPHONE12=8-9C6B7FDD77C2BB3CE9C238B0F1BCCB2268D86C67083F7DF346EF70D5CC62D030,GB,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,109.157.38.183,Cumbria,2022-01-02T21:44:33.943Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,109.157.38.183,Cumbria,2021-12-31T13:25:26.342Z
NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-1366D9A884BDDFE84C20C626055A3524247A6B2FDEE6DE8A723975E5B07E380B,GB,Google Sabrina ATV Set Top Box,Google Sabrina ATV Set Top Box,86.128.237.145,Stockport,2021-12-29T19:34:44.990Z
NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-1366D9A884BDDFE84C20C626055A3524247A6B2FDEE6DE8A723975E5B07E380B,GB,Google Sabrina ATV Set Top Box,Google Sabrina ATV Set Top Box,86.185.101.203,Staffordshire,2021-12-24T08:59:37.785Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,2a00:23c7:cb94:b601:998c:7910:ca98:6e85,Hertfordshire,2021-12-21T16:43:00.396Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,86.185.101.203,Staffordshire,2021-12-21T16:42:08.437Z
NFAPPL-02-IPHONE12=8-9C6B7FDD77C2BB3CE9C238B0F1BCCB2268D86C67083F7DF346EF70D5CC62D030,GB,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,2a00:23c7:cb94:b601:191b:79ee:e430:16ab,Hertfordshire,2021-12-17T17:52:54.308Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.185.101.203,Staffordshire,2021-11-29T19:51:23.223Z
NFAPPL-02-IPHONE13=1-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,GB,iPhone 12 Mini,iPhone 12 Mini,2a00:23c7:cb94:b601:3d9f:4650:ffe0:c450,Hertfordshire,2021-11-29T19:49:37.875Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.155.242.166,Essex,2021-11-28T12:26:25.418Z
NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-21670-1366D9A884BDDFE84C20C626055A3524247A6B2FDEE6DE8A723975E5B07E380B,GB,Google Sabrina ATV Set Top Box,Google Sabrina ATV Set Top Box,109.155.242.166,Essex,2021-11-27T09:17:59.329Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,165.120.159.254,Hertfordshire,2021-11-26T19:47:54.201Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.155.242.156,"Newry, Mourne and Down",2021-11-25T20:48:30.591Z
