Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Jane,2022-01-24 13:16:23,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,The Puppet Master: Hunting the Ultimate Conman,GMAIL.COM,,,,0
Jane,2022-01-24 13:16:23,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,The Puppet Master: Hunting the Ultimate Conman,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-18 13:39:21,PUSH_TOP_10,PUSH,GB,en-GB,en-GB,After Life,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-18 13:39:18,INAPP_TOP_10,NOTIFICATIONS,GB,,,,GMAIL.COM,,,,0
Jane,2022-01-15 12:50:21,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Animal Park,GMAIL.COM,,,,0
Jane,2022-01-15 12:50:21,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Animal Park,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-13 15:28:19,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Brazen,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-13 15:28:18,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Brazen,GMAIL.COM,,,,0
Jane,2022-01-11 15:09:52,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Dear Mother,GMAIL.COM,,,,0
Jane,2022-01-11 15:09:50,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Dear Mother,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-10 13:06:16,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Deadly Cuts,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-10 13:06:15,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Deadly Cuts,GMAIL.COM,,,,0
Jane,2022-01-08 12:41:21,PUSH_WHAT_TO_WATCH_TOP_PICKS_HIGHLANDER,PUSH,GB,en-GB,en-GB,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-08 12:41:20,INAPP_WHAT_TO_WATCH_TOP_PICKS_HIGHLANDER,NOTIFICATIONS,GB,,,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,GMAIL.COM,,,,0
Jane,2022-01-07 13:18:16,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT_HIGHLANDER,PUSH,GB,en-GB,en-GB,The Unforgivable,GMAIL.COM,,,APPLE_iPad11-1,0
Jane,2022-01-07 13:18:15,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT_HIGHLANDER,NOTIFICATIONS,GB,,,The Unforgivable,GMAIL.COM,,,,0
