Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-01-12,,,payment_transaction,CC,1103,,,,GBP,,9.99,SALE,NEW,,GB,
2022-01-12,2022-01-12,2022-02-11,SUBSCRIPTION,VISA,1103,,ADYEN,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2022-02-12
2022-01-12,2022-01-12,2022-02-11,SUBSCRIPTION,VISA,1103,,ADYEN,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2022-02-12
2022-01-12,,,payment_transaction,CC,1103,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-12-12,2021-12-12,2022-01-11,SUBSCRIPTION,VISA,1103,,ADYEN,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2022-01-12
2021-12-12,2021-12-12,2022-01-11,SUBSCRIPTION,VISA,1103,,ADYEN,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2022-01-12
2021-12-12,,,payment_transaction,CC,1103,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-12-12,,,payment_transaction,CC,1103,,,,GBP,,9.99,SALE,NEW,,GB,
2021-11-12,,,payment_transaction,CC,1103,,,,GBP,,9.99,SALE,NEW,,GB,
2021-11-12,,,payment_transaction,CC,1103,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-11-12,2021-11-12,2021-12-11,SUBSCRIPTION,VISA,1103,,ADYEN,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2021-12-12
2021-11-12,2021-11-12,2021-12-11,SUBSCRIPTION,VISA,1103,,ADYEN,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-12-12
2021-11-06,,,payment_transaction,CC,1103,,,,USD,,1.0,VALIDATE,APPROVED,,GB,
2021-10-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-10-12,2021-10-12,2021-11-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2021-11-12
2021-10-12,2021-10-12,2021-11-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-11-12
2021-10-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,NEW,,GB,
2021-09-12,2021-09-12,2021-10-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2021-10-12
2021-09-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-09-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,NEW,,GB,
2021-09-12,2021-09-12,2021-10-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-10-12
2021-08-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,NEW,,GB,
2021-08-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-08-12,2021-08-12,2021-09-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2021-09-12
2021-08-12,2021-08-12,2021-09-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-09-12
2021-07-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-07-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,NEW,,GB,
2021-07-12,2021-07-12,2021-08-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2021-08-12
2021-07-12,2021-07-12,2021-08-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-08-12
2021-06-12,2021-06-12,2021-07-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2021-07-12
2021-06-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-06-12,2021-06-12,2021-07-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-07-12
2021-06-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,NEW,,GB,
2021-05-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-05-12,2021-05-12,2021-06-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-06-12
2021-05-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,NEW,,GB,
2021-05-12,2021-05-12,2021-06-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,NEW,SETTLED,GB,2021-06-12
2021-04-12,2021-04-12,2021-05-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-05-12
2021-04-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-03-12,,,payment_transaction,CC,0150,,,,GBP,,9.99,SALE,APPROVED,,GB,
2021-03-12,2021-03-12,2021-04-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,9.99,GBP,1.66,9.99,SALE,APPROVED,SETTLED,GB,2021-04-12
2021-02-12,2021-02-12,2021-03-11,SUBSCRIPTION,VISA,0150,,CHECKOUT,8.99,GBP,1.5,8.99,SALE,APPROVED,SETTLED,GB,2021-03-12
2021-02-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,APPROVED,,GB,
2021-01-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,PENDING,,GB,
2021-01-12,2021-01-12,2021-02-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,APPROVED,SETTLED,GB,2021-02-12
2021-01-12,2021-01-12,2021-02-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,PENDING,SETTLED,GB,2021-02-12
2021-01-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,APPROVED,,GB,
2020-12-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,APPROVED,,GB,
2020-12-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,PENDING,,GB,
2020-12-12,2020-12-12,2021-01-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,PENDING,SETTLED,GB,2021-01-12
2020-12-12,2020-12-12,2021-01-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,APPROVED,SETTLED,GB,2021-01-12
2020-11-12,2020-11-12,2020-12-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,APPROVED,SETTLED,GB,2020-12-12
2020-11-12,2020-11-12,2020-12-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,PENDING,SETTLED,GB,2020-12-12
2020-11-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,PENDING,,GB,
2020-11-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,APPROVED,,GB,
2020-10-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,PENDING,,GB,
2020-10-12,2020-10-12,2020-11-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,PENDING,SETTLED,GB,2020-11-12
2020-10-12,2020-10-12,2020-11-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,APPROVED,SETTLED,GB,2020-11-12
2020-10-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,APPROVED,,GB,
2020-09-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,APPROVED,,GB,
2020-09-12,,,payment_transaction,CC,0150,,,,GBP,,8.99,SALE,PENDING,,GB,
2020-09-12,2020-09-12,2020-10-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,APPROVED,SETTLED,GB,2020-10-12
2020-09-12,2020-09-12,2020-10-11,SUBSCRIPTION,VISA,0150,,PAYMENTECH,8.99,GBP,1.5,8.99,SALE,PENDING,SETTLED,GB,2020-10-12
